element,formation_energy,cohesive_energy
N,-6.3849946975,-3.11057976
Ta,-11.871276505,-3.39664521
Mo,-10.922128175,-4.5953684
Cr,-9.50923491,-5.43972032
S,-4.1360727178125,-0.90721485
Tl,-2.249242165,-0.16708323
As,-4.684673993333333,-1.70210133
Zr,-8.51854302,-2.00449843
C,-9.226002665000001,-1.27929729
W,-12.99841522,-4.5394718
In,-2.5762293855555556,-0.18582651
P,-5.41312262547619,-1.88854312
Pb,-3.5342741325,-0.61406456
Al,-3.7427063275,-0.22895607
Ge,-4.48994103875,-0.78211595
Mn,-8.983814803620689,-5.11537118
Hf,-9.955950985,-3.17969351
Si,-5.42399441125,-0.84351506
Sc,-6.2013272,-1.90549645
Cd,-0.733047255,-0.02018091
Nb,-10.227538175,-3.17766511
Ga,-2.91361774,-0.21566447
V,-8.945253285,-3.54907174
Sn,-3.80371492375,-0.66367978
Ti,-7.806196450000001,-2.16695426
